 DealerCd | DealerNm | OperationDt | Region | SalesDistrict | ServiceDistrict | PartsDistrict | PrincipalNm | BillingAddress1 | BillingAddress2 | BillingCity | BillingState | BillingZipCd | Address1 | Address2 | City | State | ZipCd | Phone | Fax | ADI | GeneralManager | UpdatedDt | CreateDt | DealerUrl | DealerEmail | IsCarCareExpress | IsPresidentAward | Latitude | Longitude | Tier3Vendor | ScheduleConsumerUrlNonSSO | IsGenesisBrand | IsExclusiveGenesisBrand | OtherDealerCd | ScheduleServiceVendorId | DealerRating | DealerReviewCount | DealerSurecriticUrl | Computed_ScheduleConsumerUrl | ShopperAssuranceFlag | ShopperAssuranceOnDate | IsAutoHookTD | DealerInventoryURL | RedCapUrl | IsClickToBuy | IsHomeNet | IsDWCP | ServiceCenterPhone | CalltrackingShowroomPhone | CalltrackingServiceCenterPhone | DealerServiceUrl | DealerTestDriveUrl | DealerReviewUrl | ProviderName | IsRoadsterDealerFlag | RoadsterDpid | DRSVendorName | IsRoadsterPricelock | RoadsterPriceUnlockMode | IsIoniqCertified | IsEVGMACertified | CalltrackingShowroomPhoneMobile | CalltrackingServiceCenterPhoneMobile 
AL031|UNIVERSITY HYUNDAI OF DECATUR||SO2|SO|SO2|SO2|CARL ATKINSON|1211 BELTLINE ROAD||DECATUR|AL|35603|1211 BELTLINE ROAD||DECATUR|AL|35603|256-280-2131|256-217-1552|588|MICHAEL STEVENS|2017-02-17 08:59:25|2016-08-09 17:47:52.247000000|www.greenwayhyundaiofdecatur.com|jerryray@greenway.com|0|0|34.560703277587891|-87.006980895996094|DEALER.COM|https://consumer.xtime.com/scheduling/?webKey=hmaal031|1|0||1|4.6099233000000002|805|https://www.surecritic.com/reviews/university-hyundai-of-decatur|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL031&VARIANT=HYUNDAI|True|2020-01-02||www.greenwayhyundaiofdecatur.com/new-vehicles/||0|1|1||256-898-6767|256-898-6768|www.greenwayhyundaiofdecatur.comservice/|www.greenwayhyundaiofdecatur.comhyundai-test-drive/|surecritic.com/reviews/university-hyundai-of-decatur|Dealer Inspire|||DDC|||0|0|256-829-7527|256-304-9760
AL032|HYUNDAI OF JASPER||SO2|SO|SO2|SO2|TALMAI VICKERS, JR|4102 HIGHWAY 78 EAST||JASPER|AL|35501|4011 HIGHWAY 78 EAST||JASPER|AL|35501|205-295-9400|205-385-0104|47|KEVIN CALLAHAN|2015-07-09 06:55:10|2016-08-09 17:47:52.247000000|www.hyundaiofjasper.com|kcallahan926@gmail.com;BOATZ98@YAHOO.COM|0|0|33.837486267089844|-87.227790832519531|COBALT|https://hyundaiofjasper13440.myvehiclesite.com/appt/|0|0||3|4.8128833999999996|1408|https://www.surecritic.com/reviews/hyundai-of-jasper|https://hyundaiofjasper13440.myvehiclesite.com/appt/|True|2020-01-02||www.hyundaiofjasper.com/VehicleSearchResults?search=new||1|1|1||205-544-2722|205-544-2717|www.hyundaiofjasper.com/ServiceApptForm|www.hyundaiofjasper.com/Schedule-Test-Drive.html|www.surecritic.com/reviews/hyundai-of-jasper?nhd=1|Sincro||||||0|0|205-797-0769|205-576-0248
AL034|SERRA HYUNDAI||SO2|SO|SO2|SO2|KRISTINA  SERRA VISSER|1503 GADSDEN HIGHWAY||BIRMINGHAM|AL|35235|1751 GADSDEN HIGHWAY||BIRMINGHAM|AL|35235|205-856-9024|205-520-5835|47|JOHN MCDONALD|2024-08-20 02:30:27.150000000|2019-11-01 02:15:02.800000000|www.serrahyundai.com||0|0|33.603988647460938|-86.633995056152344|DEALER.COM|https://consumer.xtime.com/scheduling/?webKey=xtm20220711844xx1|1|0||1|4.7647778000000001|250|https://www.surecritic.com/reviews/serra-hyundai-3|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL034&VARIANT=HYUNDAI|False|||www.serrahyundai.com/new-vehicles/||1|1|1||205-623-2292|205-623-2298|www.serrahyundai.com/service/|www.serrahyundai.com/hyundai-test-drive/|www.surecritic.com/reviews/serra-hyundai-3|Dealer Inspire|||DDC|||1|0|205-813-6535|205-525-6962
AL035|HYUNDAI OF AUBURN||SO6|SO|SO6|SO6|HAROLD A TURNER|823 OPELIKA ROAD||AUBURN|AL|36830|823 OPELIKA ROAD||AUBURN|AL|36830|334-321-0777|334-826-3346|610|GM DIR APPT IN PROC WILLIAM ALLGOOD|2024-08-20 02:30:27.150000000|2021-11-14 02:15:00.720000000|www.hyundaiofauburn.com||0|0|32.617973327636719|-85.463546752929688|DEALER.COM|https://consumer.xtime.com/scheduling/?webKey=xtm20220802919xx1|1|0|AL707     |1|4.7457472999999997|1968|https://www.surecritic.com/reviews/hyundai-of-auburn|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL035&VARIANT=HYUNDAI|False||0|www.hyundaiofauburn.com/new-vehicles/||1|1|1||334-539-3111|334-539-3141|www.hyundaiofauburn.com/service/|www.hyundaiofauburn.com/hyundai-test-drive/|www.surecritic.com/reviews/hyundai-of-auburn|Dealer Inspire|||DDC|||1|0|334-401-4650|334-378-4141
AL036|HYUNDAI MONTGOMERY||SO6|SO|SO6|SO6|GERALD L MULLINAX|2820 EASTERN BLVD||MONTGOMERY|AL|36116|2820 EASTERN BLVD||MONTGOMERY|AL|36116|334-851-8100|334-851-8199|120|GM CANDIDATE (02/24) MARCUS TEMPLE(2ND)|2024-08-20 02:30:27.150000000|2023-06-15 02:15:01.420000000|www.hyundaimontgomery.com||0|0|32.342929840087891|-86.226448059082031|DEALER.COM||0|0||4||0|https://www.surecritic.com/reviews/hyundai-montgomery||False||0|www.hyundaimontgomery.com/new-vehicles/||0|1|1||334-523-8434|334-523-8436|www.hyundaimontgomery.com/service/|www.hyundaimontgomery.com/hyundai-test-drive/||Dealer Inspire|||RST|||1|0|256-257-8609|334-581-9357
AL037|HALLMARK HYUNDAI OF BIRMINGHAM||SO2|SO|SO2|SO2|DAVID S ANDREWS|1424 5TH AVENUE NORTH||BIRMINGHAM|AL|35203|1424 5TH AVENUE NORTH||BIRMINGHAM|AL|35203|205-324-3371|205-320-7350|47|DAVID ANDREWS|2024-08-20 02:30:27.150000000|2024-04-18 02:15:01.167000000|www.jimburkebirminghamhyundai.com||0|0|33.514720916748047|-86.81591796875|DEALER.COM||0|0||4||0|https://www.surecritic.com/reviews/hallmark-hyundai-of-birmingham||False||0|www.jimburkebirminghamhyundai.com/new-vehicles/||0|1|1||||www.jimburkebirminghamhyundai.comservice/|www.jimburkebirminghamhyundai.comhyundai-test-drive/||Dealer Inspire|||DDC|||1|0||
AL038|HYUNDAI OF THE SHOALS||SO2|SO|SO2|SO2|JOSEPH M MARSHALL|122 HIGHWAY 43 SOUTH||TUSCUMBIA|AL|35674|122 HIGHWAY 43 SOUTH||TUSCUMBIA|AL|35674|256-766-6117|256-766-6647|588|GM CANDIDATE (05/24) ALVIE SULLIVAN|2024-08-20 02:30:27.150000000|2024-04-23 02:15:01.707000000|www.hyundaioftheshoals.com||0|0|34.715503692626953|-87.668846130371094|DEALER.COM|https://consumer.xtime.com/scheduling/?webKey=xtm202404110915xx1|0|0||1||0|https://www.surecritic.com/reviews/hyundai-of-the-shoals|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL038&VARIANT=HYUNDAI|False||0|www.hyundaioftheshoals.com/new-inventory/index.htm||0|1|1|||||www.hyundaioftheshoals.com/hyundai-test-drive.htm||Dealer.com|||DDC|||0|0||
AR014|CAVENAUGH HYUNDAI|1994-07-12 00:00:00|SC3|SC|SC3|SC3|DONALD R CAVENAUGH|P.O. BOX 429||WALNUT RIDGE|AR|72476|3315 STADIUM BOULEVARD||JONESBORO|AR|72404|870-933-8070|870-931-1030|175|WILLIAM CAVENAUGH|2017-04-04 06:31:24|2016-08-09 17:47:52.247000000|www.cavenaughhyundai.com|barrys@cavautogroup.com|0|0|35.799663543701172|-90.670555114746094|COBALT|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AR014&externalsource=email&theme=hyundai|0|0|AR705     |2|4.7928052000000001|1061|https://www.surecritic.com/reviews/cavenaugh-hyundai-jonesboro|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AR014&externalsource=email&theme=hyundai|False|2019-11-01||www.cavenaughhyundai.com/searchnew.aspx||1|1|1||870-558-2112|870-558-2113|www.cavenaughhyundai.com/ServiceApptForm.html|www.cavenaughhyundai.com/testdrive.aspx||DealerOn|||DDC|||1|0|870-729-7241|870-600-3573
AR026|CAVENAUGH HYUNDAI|2006-08-24 00:00:00|SC3|SC|SC3|SC3|DONALD R CAVENAUGH|PO BOX 429||WALNUT RIDGE|AR|71913|4216 CENTRAL AVENUE||HOT SPRINGS|AR|71913|501-623-0500|501-623-0597|639|DONALD CAVENAUGH JR|2016-08-29 11:33:36|2016-08-09 17:47:52.247000000|www.cavenaughhyundaihotsprings.com|codyp@cavautogroup.com|1|0|34.453681945800781|-93.069671630859375|COBALT|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AR026&externalsource=email&theme=hyundai|1|0||2|4.8249845000000002|1456|https://www.surecritic.com/reviews/cavenaugh-hyundai-hot-springs|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AR026&externalsource=email&theme=hyundai|False|||www.cavenaughhyundaihotsprings.com/searchnew.aspx||1|1|1||501-625-9909|501-625-9908|www.cavenaughhyundaihotsprings.com/ServiceApptForm.html|www.cavenaughhyundaihotsprings.com/testdrive.aspx|www.cavenaughhyundaihotsprings.com/Read-Edmunds-Reviews.html|DealerOn|||DDC|||1|0|501-600-2708|501-669-9063
AR028|CRAIN HYUNDAI LITTLE ROCK|2007-02-02 00:00:00|SC3|SC|SC3|SC3|LARRY P CRAIN JR|PO BOX 6070||SHERWOOD|AR|72124|11701 COLONEL GLENN ROAD||LITTLE ROCK|AR|72210|501-604-1500|501-604-1552|56|GM CANDIDATE (02/24) RODERICK GRAY|2018-03-01 12:37:38|2016-08-09 17:47:52.247000000|www.crainhyundailittlerock.com|markmadison@contactdealer.com|1|0|34.711158752441406|-92.405380249023438|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaar028|1|0||1|4.7147240000000004|2223|https://www.surecritic.com/reviews/crain-hyundai-little-rock|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AR028&VARIANT=HYUNDAI|True|2020-01-02||www.crainhyundailittlerock.com/searchnew.aspx||1|1|1||501-588-0011|501-588-0023|www.crainhyundailittlerock.com/Schedule-Service.html|www.crainhyundailittlerock.com/testdrive.aspx||DealerOn|||DDC|||1|0|501-727-2567|501-799-7501
AR029|CRAIN HYUNDAI NORTH LITTLE ROCK|2007-02-02 00:00:00|SC3|SC|SC3|SC3|LARRY P CRAIN JR|PO BOX 6070||SHERWOOD|AR|72124|5660 WARDEN ROAD||NORTH LITTLE ROCK|AR|72116|501-835-9995|501-835-9996|56|GM TBD|2018-03-01 12:31:08|2016-08-09 17:47:52.247000000|www.crainhyundainorth.com|jasonbuchanan@crainteam.net|1|0|34.805267333984375|-92.212257385253906|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaar029|0|0||1|4.4321460000000004|1570|https://www.surecritic.com/reviews/crain-hyundai-north-little-rock|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AR029&VARIANT=HYUNDAI|True|2020-01-02||www.crainhyundainorth.com/searchnew.aspx||1|1|1||501-604-4044|501-604-4045|www.crainhyundainorth.com/Schedule-Service.html|www.crainhyundainorth.com/testdrive.aspx||DealerOn|||DDC|||1|0|501-300-7167|501-651-0232
AR031|SMART HYUNDAI||SC3|SC|SC3|SC3|ROGER SMART JR|1 SMART DRIVE||WHITE HALL|AR|71602|1 SMART DRIVE||WHITE HALL|AR|71602|870-534-8122|870-535-8122|56|ROGER SMART SR|2018-02-14 10:58:10|2016-08-09 17:47:52.247000000|www.smartdrivehyundai.com|roger@smartdrive.com|0|0|34.263118743896484|-92.1064453125|COBALT|https://smarthyundai.myvehiclesite.com/appt/|0|0||3|4.7500005999999999|428|https://www.surecritic.com/reviews/smart-hyundai|https://smarthyundai.myvehiclesite.com/appt/|False|||www.smartdrivehyundai.com/VehicleSearchResults?search=new||1|1|1||870-671-4744|870-671-4747|www.smartdrivehyundai.com/ServiceApptForm|www.smartdrivehyundai.com/Schedule-Test-Drive.html|www.surecritic.com/reviews/smart-hyundai?nhd=1|Ansira|||DDC|||1|0|870-512-6569|870-451-5790
AR034|CRAIN HYUNDAI OF FAYETTEVILLE||SC3|SC|SC3|SC3|LARRY P CRAIN JR|PO BOX 6070||SHERWOOD|AR|72124|1919 W FOXGLOVE DRIVE||FAYETTEVILLE|AR|72704|479-750-4997|501-542-6109|147|GM CANDIDATE (06/24) CALEB ROYAL|2018-03-01 19:47:45|2016-08-09 17:47:52.247000000|www.crainhyundaioffayetteville.com|robertgilmore@crainteam.net|1|0|36.100921630859375|-94.185699462890625|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaar034|0|0||1|4.7259264999999999|1905|https://www.surecritic.com/reviews/crain-hyundai-of-fayetteville|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AR034&VARIANT=HYUNDAI|True|2020-01-02||www.crainhyundaioffayetteville.com/searchnew.aspx||1|1|1||479-879-9888|479-879-9887|www.crainhyundaioffayetteville.com/schedule-service.html|www.crainhyundaioffayetteville.com/testdrive.aspx||DealerOn|||DDC|||1|0|479-309-3430|479-346-4142
AR035|CRAIN HYUNDAI OF BENTONVILLE||SC3|SC|SC3|SC3|LARRY P CRAIN JR|PO BOX 6070||SHERWOOD|AR|72124|3000 SE MOBERLY LANE||BENTONVILLE|AR|72712|479-696-0800|479-696-0850|147|GM CANDIDATE (02/24) SCOTT ABBOTT|2018-03-01 19:50:01|2016-08-09 17:47:52.247000000|www.crainhyundaibentonville.com|robertgilmore@crainteam.net|1|0|36.339641571044922|-94.184577941894531|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaar035|1|0||1|4.8265079000000002|2441|https://www.surecritic.com/reviews/crain-hyundai-bentonville|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AR035&VARIANT=HYUNDAI|True|2020-01-02||www.crainhyundaibentonville.com/searchnew.aspx||1|1|1||479-360-6331|479-360-6332|www.crainhyundaibentonville.com/Schedule-Service.html|www.crainhyundaibentonville.com/testdrive.aspx||DealerOn|||DDC|||0|0|479-342-2380|479-777-8069
AR036|CRAIN HYUNDAI OF FORT SMITH||SC3|SC|SC3|SC3|LARRY P CRAIN JR|PO BOX 6070||SHERWOOD|AR|72124|3600 S ZERO STREET||FORT SMITH|AR|72908|479-424-2440|479-424-2433|147|SHAWN COTIE|2018-03-01 19:52:45|2016-08-09 17:47:52.247000000|www.crainhyundaiftsmith.com|robertgilmore@crainteam.net|1|0|35.326889038085938|-94.393585205078125|COBALT|https://consumer.xtime.com/scheduling/?webKey=hyu20160204135414ar036|0|0||1|4.646134|1322|https://www.surecritic.com/reviews/crain-hyundai-of-fort-smith|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AR036&VARIANT=HYUNDAI|True|2020-01-02||www.crainhyundaiftsmith.com/searchnew.aspx||1|1|1||479-431-5588|479-431-5595|www.crainhyundaiftsmith.com/Schedule-Hyundai-Service.html|www.crainhyundaiftsmith.com/testdrive.aspx||DealerOn|||DDC|||0|0|479-383-2471|479-348-1516
AR037|ORR HYUNDAI OF RUSSELLVILLE||SC3|SC|SC3|SC3|JOEL ORR|3215 EAST MAIN STREET||RUSSELLVILLE|AR|72802|3215 EAST MAIN STREET||RUSSELLVILLE|AR|72802|479-968-4566|479-967-9889|56|DAVID ROGERS|2017-01-26 09:42:14|2016-08-09 17:47:52.247000000|www.orrhyundai.net|scotties@orrautomall.com|0|0|35.277839660644531|-93.089347839355469|COBALT||0|0||4|4.3624799999999997|284|https://www.surecritic.com/reviews/orr-hyundai-of-russellville||False|||www.orrhyundai.net/new-inventory/index.htm||1|1|1||479-358-6888|479-358-6697|www.orrhyundai.net/schedule-service.htm|www.orrhyundai.net/hyundai-test-drive.htm|surecritic.com/reviews/orr-hyundai-of-russellville|Dealer.com||||||0|0|479-333-9101|479-397-3476
